countrycode,country,year,cn,cgdpo,pl_n,pl_gdpo
UGA,Uganda,2019,276489.28125,118570.5859375,0.28525984287261963,0.31858450174331665
UKR,Ukraine,2019,9261586.0,635106.125,0.15715309977531433,0.24229499697685242
URY,Uruguay,2019,354294.65625,88418.5234375,0.4970851540565491,0.7037258148193359
USA,United States,2019,75565128.0,22820462.0,0.9173009991645813,0.9438896775245667
UZB,Uzbekistan,2019,1386789.875,277656.0625,0.08492998033761978,0.21711573004722595
VCT,St. Vincent and the Grenadines,2019,10827.1806640625,1539.48291015625,0.3924148976802826,0.591420590877533
VEN,Venezuela (Bolivarian Republic of),2019,134853.34375,16038.05859375,24.6396427154541,9.306339263916016
VGB,British Virgin Islands,2019,4878.4365234375,1466.470458984375,0.9622989296913147,1.032158374786377
VNM,Viet Nam,2019,3495883.25,1090445.625,0.2030310034751892,0.30663174390792847
YEM,Yemen,2019,576275.75,40073.21484375,0.11882954090833664,0.3239124119281769
ZAF,South Africa,2019,3077501.5,836385.875,0.2856239974498749,0.4654908776283264
ZMB,Zambia,2019,286285.28125,60398.01171875,0.2965553402900696,0.3859281539916992
ZWE,Zimbabwe,2019,83138.546875,44792.2890625,0.3392679989337921,0.5044287443161011
ABW,Aruba,2021,22440.20703125,4026.3525390625,0.6881176233291626,0.7275683283805847
AGO,Angola,2021,683729.4375,215422.875,0.18307501077651978,0.3245045840740204
AIA,Anguilla,2021,3975.534912109375,268.6329345703125,0.5368198752403259,1.1362287998199463
ALB,Albania,2021,242758.09375,42296.04296875,0.2895571291446686,0.4239300787448883
ARE,United Arab Emirates,2021,5493170.0,711028.125,0.2952948808670044,0.5839133262634277
ARG,Argentina,2021,4714402.5,1176311.0,0.31499573588371277,0.41363561153411865
ARM,Armenia,2021,239942.453125,50131.19921875,0.19452783465385437,0.2768518924713135
ATG,Antigua and Barbuda,2021,18469.47265625,2511.56103515625,0.4429185092449188,0.6376438736915588
AUS,Australia,2021,7691365.5,1639789.75,0.9611144065856934,1.0675245523452759
AUT,Austria,2021,3146882.0,552159.5,0.6688747406005859,0.8701598644256592
AZE,Azerbaijan,2021,493571.0625,199111.3125,0.20207951962947845,0.27535057067871094
BDI,Burundi,2021,28384.6640625,12783.431640625,0.25730982422828674,0.2927539050579071
BEL,Belgium,2021,3814143.5,642660.375,0.5800792574882507,0.9312757253646851
BEN,Benin,2021,125896.8984375,44400.8828125,0.2927018404006958,0.39836201071739197
BFA,Burkina Faso,2021,99150.890625,51092.96875,0.28026282787323,0.3855230212211609
BGD,Bangladesh,2021,4679440.5,1227560.25,0.22058600187301636,0.33799317479133606
BGR,Bulgaria,2021,508341.59375,182690.359375,0.34108126163482666,0.46206119656562805
BHR,Bahrain,2021,462206.4375,83350.4453125,0.286308616399765,0.47051721811294556
BHS,Bahamas,2021,78775.28125,10745.0849609375,0.5849765539169312,1.058058261871338
BIH,Bosnia and Herzegovina,2021,170671.40625,55077.03515625,0.2859971523284912,0.42981091141700745
BLR,Belarus,2021,1373106.5,260045.796875,0.18495120108127594,0.2679288387298584
BLZ,Belize,2021,12674.283203125,4346.45703125,0.38445013761520386,0.5597861409187317
BMU,Bermuda,2021,12360.490234375,3989.22265625,0.9701874852180481,1.8272955417633057
BOL,Bolivia (Plurinational State of),2021,332737.75,110758.1328125,0.2196420282125473,0.36481398344039917
BRA,Brazil,2021,16418747.0,3671084.75,0.25865864753723145,0.45508280396461487
