scenario,normalization,omega_h,chi,time,time_to_terminal,log_capability,log_output_per_capita,capability_growth,output_per_capita_growth,wage_growth,aggregate_labor_share,human_research_share,automated_research_share,ai_share,output_capital_ratio,singularity_time_estimate
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,287.0,1241.801258181119,0.6039944740962008,0.22506663897556178,0.0024700771379978694,0.0003389694306474948,0.00022467680382831645,0.6151588119880742,0.0,1.0,0.08185251942078475,0.27363677353272375,364.18869117100076
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,287.9242369574441,1240.877021223675,0.6062784205897952,0.22538027472975264,0.002472262240049138,0.00033972206193811846,0.00022517577358271978,0.6150937619825833,0.0,1.0,0.081949608981219,0.2736387825763462,365.1123614125494
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,288.0,1240.801258181119,0.6064657334815061,0.22540601544651162,0.0024724412805345896,0.0003397838258654244,0.00022521671860786796,0.6150884235060551,0.0,1.0,0.0819575768566341,0.2736389474558731,365.1880779458581
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,289.0,1239.801258181119,0.6089393559508824,0.22574620727135386,0.0024748033038027827,0.00034060013954874055,0.00022575790792345174,0.6150178740701583,0.0,1.0,0.08206287452215165,0.2736411264248516,366.1874633071539
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,290.0,1238.801258181119,0.6114153393814599,0.22608721636603057,0.002477163203634909,0.00034141837169744324,0.0002263003673341757,0.6149471633400775,0.0,1.0,0.08216841292525742,0.2736433104528018,367.1868472512489
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,290.4722390544126,1238.3290191267065,0.6125854155746171,0.22624853883130136,0.0024782769011555627,0.00034180543541185646,0.00022655697540230335,0.6149137148042835,0.0,1.0,0.08221833611300963,0.2736443435986518,367.6587948862597
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,291.0,1237.801258181119,0.6138936816487198,0.2264290446508106,0.0024795209758936157,0.00034223852009108643,0.0002268440968400398,0.6148762909746867,0.0,1.0,0.08227419257509452,0.2736454995535253,368.1862297743182
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,292.0,1236.801258181119,0.616374380622935,0.22677169405164976,0.002481876616482916,0.0003430606024932385,0.0002273891053228283,0.6148052566320945,0.0,1.0,0.08238021398194839,0.2736476937405815,369.18561087260565
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,293.0,1235.801258181119,0.6188574341695865,0.227115166499956,0.002484230121346988,0.0003438846144630074,0.00022793539278254116,0.6147340599696387,0.0,1.0,0.08248647765725568,0.2736498930274387,370.18499054238123
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,293.0202411513812,1235.7810170297378,0.6189077183294364,0.22712212728954517,0.002484277736914878,0.0003439013166581899,0.00022794646614698877,0.6147326171888069,0.0,1.0,0.0824886310614821,0.2736499375962936,370.20521912278696
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,294.0,1234.801258181119,0.621342840152358,0.2274594639316403,0.0024865814864609734,0.0003447105693230694,0.00022848296810096258,0.614662700643833,0.0,1.0,0.08259298411368206,0.2736520974281485,371.18436877975074
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,295.0,1233.801258181119,0.6238305964281406,0.22780458828895167,0.002488930707846789,0.0003455384715143166,0.00022903183349853862,0.6145911783104462,0.0,1.0,0.08269973386500543,0.2736543069561177,372.1837455810023
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,295.5682432483497,1233.2330149327693,0.625245293541566,0.22800107207199138,0.002490264680346683,0.00034600978339273045,0.00022934429244614307,0.6145504634642239,0.0,1.0,0.0827605022922031,0.27365556479533987,372.7516340595063
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,296.0,1232.801258181119,0.6263207008519056,0.2281505415186471,0.0024912777815578714,0.0003463683143754108,0.00022958198453437717,0.6145194926244246,0.0,1.0,0.08280672742623199,0.27365652162533977,373.18312094225894
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,297.0,1231.801258181119,0.6288131512742646,0.22849732557306002,0.002493622703687079,0.00034720012011081255,0.00023013343675160058,0.6144476432399243,0.0,1.0,0.08291396531354606,0.2736587414497172,374.18249485966976
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,298.0,1230.801258181119,0.6313079455406766,0.2288449424103134,0.002495965470369305,0.00034803387983873765,0.00023068618126842466,0.6143756298103256,0.0,1.0,0.08302144804429008,0.2736609664429069,375.1818673294536
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,298.1162453453182,1230.6850128358008,0.6315981057296935,0.22888540536961077,0.002496237666071748,0.0003481309266537662,0.00023075051647225564,0.6143672479253318,0.0,1.0,0.08303395832040035,0.27366122542401616,375.29803963320154
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,299.0,1229.801258181119,0.6338050814951711,0.22919339399298266,0.002498306077769697,0.00034886961354320054,0.0002312402358484178,0.6143034519881724,0.0,1.0,0.08312917613705618,0.2736631966192378,376.1812383476401
